Symbol,LTP,%Change,Open,High,Low,Qty.,PClose,Diff.
LLBS,944.00,-0.62,925.00,944.00,925.00,20,949.90,-5.9
LSL,216.40,-0.28,227.80,227.80,215.30,"53,842",217.00,-0.6
LUK,10.79,-0.19,10.70,10.79,10.70,"1,800",10.81,-0.02
LVF2,9.75,-0.51,9.71,9.99,9.70,500,9.80,-0.05
MABEL,684.00,1.33,671.00,693.10,656.00,"15,423",675.00,9
MAKAR,481.20,0.23,480.10,485.00,480.10,"3,841",480.10,1.1
MANDU,821.00,-1.68,815.00,830.00,813.50,"2,000",835.00,-14
MATRI,864.00,0,860.00,864.00,850.50,427,864.00,0
MBJC,278.00,-0.64,279.10,280.00,277.00,"17,102",279.80,-1.8
MBL,244.90,-0.37,248.60,248.70,241.20,"57,549",245.80,-0.9
MBLEF,10.00,-1.38,9.84,10.14,9.84,"65,670",10.14,-0.14
MCHL,303.00,-1.85,302.00,310.00,302.00,"10,467",308.70,-5.7
MDB,590.00,-1.34,627.90,627.90,582.10,"7,458",598.00,-8
MEHL,350.00,-1.13,344.10,350.00,344.10,"4,536",354.00,-4
MEL,226.60,-1.26,226.00,229.00,220.00,"22,951",229.50,-2.9
MEN,583.30,-1.14,587.00,589.00,580.00,"49,776",590.00,-6.7
MERO,710.00,-0.84,707.50,715.00,701.50,"6,968",716.00,-6
MFIL,774.00,-1.4,780.00,782.00,767.00,"35,561",785.00,-11
MHCL,335.80,-2.36,349.00,349.00,335.70,"4,259",343.90,-8.1
MHL,480.60,-1.72,484.10,492.00,480.00,"3,313",489.00,-8.4
MHNL,251.00,0.24,252.00,252.00,240.00,"13,999",250.40,0.6
MKCL,"1,111.00",-2.37,"1,130.00","1,130.00","1,096.10","3,212","1,138.00",-27
MKHC,304.00,-3.03,311.00,311.00,303.00,"16,651",313.50,-9.5
MKHL,493.90,-0.62,482.10,496.90,473.00,"7,940",497.00,-3.1
MKJC,475.00,-1.02,470.60,477.90,460.00,"4,467",479.90,-4.9
MLBBL,"1,160.00",0.43,"1,155.00","1,160.00","1,143.60",840,"1,155.00",5
MLBL,355.00,-0.28,356.10,357.00,350.20,"20,668",356.00,-1
MLBS,"1,197.00",0.83,"1,175.00","1,197.00","1,168.00",465,"1,187.10",9.9
MLBSL,"1,772.00",1.72,"1,720.10","1,781.90","1,720.10",394,"1,742.00",30
MMF1,9.63,0.31,9.79,9.79,9.40,"28,430",9.60,0.03
MMKJL,480.00,0,480.00,482.00,462.00,"5,922",480.00,0
MNBBL,370.00,0,368.00,375.00,365.10,"42,135",370.00,0
MNBBLP,236.20,0,236.20,236.20,236.20,"5,000",236.20,0
MNMF1,9.88,0.51,9.76,9.95,9.76,"40,277",9.83,0.05
MPFL,615.00,0.34,585.00,620.50,585.00,"25,176",612.90,2.1
MSHL,667.00,-0.52,665.00,667.00,645.10,678,670.50,-3.5
MSLB,"1,231.10",-3.36,"1,265.00","1,265.00","1,211.10",393,"1,273.90",-42.8
NABBC,777.00,-3,813.90,813.90,761.60,"5,857",801.00,-24
NABIL,524.50,-0.85,529.00,534.80,520.00,"68,419",529.00,-4.5
NABILD2089,"1,081.00",-1.01,"1,090.00","1,090.00","1,081.00",55,"1,092.00",-11
NADEP,739.80,-1.87,752.90,752.90,704.10,"2,872",753.90,-14.1
NBF2,9.91,0.1,9.90,9.91,9.90,400,9.90,0.01
NBF3,9.99,-0.1,9.81,10.00,9.80,"42,190",10.00,-0.01
NBL,263.50,-0.57,265.00,265.00,262.00,"44,282",265.00,-1.5
NESDO,"1,570.00",-0.44,"1,576.00","1,580.00","1,542.00","1,512","1,577.00",-7
NFS,591.00,-0.72,595.10,605.00,586.20,"8,565",595.30,-4.3
NGPL,415.00,-1.19,420.00,420.00,409.30,"185,220",420.00,-5
NHDL,633.90,0.22,626.00,634.00,622.00,"4,898",632.50,1.4
NHPC,271.70,0.26,272.00,274.50,262.00,"306,086",271.00,0.7
NIBLGF,9.50,1.6,9.35,9.50,9.35,"5,800",9.35,0.15
NIBLSTF,9.25,-0.43,9.50,9.50,9.05,"1,223",9.29,-0.04
NIBSF2,9.08,-2.89,9.07,9.25,9.07,800,9.35,-0.27
NICA,331.00,-0.3,330.50,333.00,328.00,"62,959",332.00,-1
NICAD2091,"1,055.00",0,"1,055.00","1,055.00","1,055.00","49,040","1,055.00",0
NICBF,9.22,0.66,9.22,9.22,9.22,100,9.16,0.06
NICFC,9.27,0.43,8.97,9.34,8.97,"1,900",9.23,0.04
NICGF2,9.25,-0.64,9.12,9.25,9.12,"2,926",9.31,-0.06
NICL,521.00,-1.18,535.00,535.00,516.00,"15,913",527.20,-6.2
NICLBSL,561.50,-0.32,561.10,569.00,558.00,"5,054",563.30,-1.8
NICSF,9.30,-0.85,9.20,9.39,9.15,"14,500",9.38,-0.08
NIFRA,252.00,0.04,254.50,254.50,250.00,"81,241",251.90,0.1
NIFRAGED,"1,060.00",1.98,"1,050.00","1,060.00","1,050.00",76,"1,039.40",20.6
NIL,620.90,-1.44,621.00,630.00,620.60,"5,593",630.00,-9.1
NIMB,192.00,-1.03,194.00,195.00,191.30,"102,159",194.00,-2
NIMBPO,145.00,1.47,147.00,147.00,143.30,974,142.90,2.1
NLG,602.90,-1.16,619.80,619.80,592.00,"6,332",610.00,-7.1
NLIC,744.90,-0.68,749.20,752.00,740.00,"43,879",750.00,-5.1
NLICL,572.90,-0.1,577.20,577.20,572.50,"5,840",573.50,-0.6
NMB,239.30,-0.5,241.00,241.00,237.80,"31,810",240.50,-1.2
NMB50,10.19,-0.2,10.21,10.21,10.19,400,10.21,-0.02
NMBHF2,9.70,-0.51,9.56,9.80,9.56,"2,220",9.75,-0.05
NMBMF,636.90,-0.48,633.00,636.90,622.40,"1,395",640.00,-3.1
NMFBS,"1,106.20",-1.76,"1,130.00","1,130.00","1,100.00","6,881","1,126.00",-19.8
NMIC,980.00,-1.12,"1,005.00","1,029.80",970.30,"3,147",991.10,-11.1
NMLBBL,565.00,-0.88,565.10,566.00,560.10,"3,778",570.00,-5
NRIC,958.50,-0.7,918.00,985.00,918.00,"27,800",965.30,-6.8
NRM,317.50,-1.7,325.00,325.00,315.00,"16,378",323.00,-5.5
NRN,"1,429.90",0.63,"1,350.00","1,430.00","1,350.00","71,317","1,421.00",8.9
NSIF2,10.53,-0.28,10.56,10.56,10.53,"9,900",10.56,-0.03
NSY,9.35,-1.58,9.58,9.58,9.25,"8,500",9.50,-0.15
NTC,844.00,-0.59,849.00,850.00,840.00,"10,354",849.00,-5
NUBL,636.00,-0.61,632.30,636.00,630.00,"5,983",639.90,-3.9
NWCL,747.00,-2.23,746.00,760.00,746.00,"2,695",764.00,-17
NYADI,381.00,-0.26,377.10,386.00,375.20,"3,993",382.00,-1
OHL,698.90,1.88,682.00,698.90,670.10,"2,080",686.00,12.9
OMPL,"1,066.00",-2.91,"1,082.00","1,094.90","1,045.00","5,185","1,098.00",-32
PBD88,"1,217.00",0.16,"1,217.00","1,217.00","1,217.00",25,"1,215.00",2
PBLD84,"1,076.00",-2.18,"1,077.20","1,077.20","1,076.00",200,"1,100.00",-24
PCBL,234.60,-0.97,234.00,235.50,233.00,"30,395",236.90,-2.3
PCIL,690.00,-2.13,705.00,705.00,670.00,"63,460",705.00,-15
PFL,365.00,-0.82,366.10,370.00,359.00,"7,337",368.00,-3
PHCL,303.00,-1.05,314.90,314.90,298.90,"64,154",306.20,-3.2
